underlying_price,strike,expiration_date,option_type,bid,ask,volume,open_interest,last_price,implied_volatility,T,moneyness
427.989990234375,345.0,2024-12-27,call,83.25,85.5,,1,70.71,0.5394333166503908,0.08315952919819632,0.8060936187107363
427.989990234375,350.0,2024-12-27,call,78.3,80.55,1.0,10,65.94,0.5141650146484374,0.08315952919819632,0.8177761349239353
427.989990234375,355.0,2024-12-27,call,73.05,75.6,3.0,2,60.87,0.4887746435546876,0.08315952919819632,0.8294586511371344
427.989990234375,360.0,2024-12-27,call,68.15,70.65,,2,68.9,0.46326220336914065,0.08315952919819632,0.8411411673503334
427.989990234375,365.0,2024-12-27,call,63.2,65.75,1.0,6,50.95,0.4400080413818359,0.08315952919819632,0.8528236835635326
427.989990234375,370.0,2024-12-27,call,58.2,60.85,1.0,42,51.25,0.4163266375732422,0.08315952919819632,0.8645061997767316
427.989990234375,375.0,2024-12-27,call,53.75,55.9,,1,41.5,0.3902648864746094,0.08315952919819632,0.8761887159899306
427.989990234375,380.0,2024-12-27,call,48.65,52.05,2.0,12,48.45,0.4039366247558594,0.08315952919819632,0.8878712322031298
427.989990234375,385.0,2024-12-27,call,43.95,47.15,1.0,14,37.75,0.37695935546875,0.08315952919819632,0.8995537484163288
427.989990234375,390.0,2024-12-27,call,40.1,41.25,144.0,146,30.1,0.3171455004882812,0.08315952919819632,0.9112362646295279
427.989990234375,395.0,2024-12-27,call,34.1,37.85,1.0,53,35.15,0.335944140625,0.08315952919819632,0.9229187808427269
427.989990234375,400.0,2024-12-27,call,29.4,31.5,303.0,5062,31.2,0.26544924011230464,0.08315952919819632,0.9346012970559261
427.989990234375,405.0,2024-12-27,call,24.6,27.0,98.0,133,27.43,0.24829853271484376,0.08315952919819632,0.9462838132691251
427.989990234375,410.0,2024-12-27,call,20.95,22.9,110.0,345,23.03,0.23810576354980467,0.08315952919819632,0.9579663294823242
427.989990234375,415.0,2024-12-27,call,16.55,18.55,133.0,588,18.18,0.21772022521972656,0.08315952919819632,0.9696488456955232
427.989990234375,420.0,2024-12-27,call,14.2,16.1,980.0,1457,14.45,0.23307041351318358,0.08315952919819632,0.9813313619087224
427.989990234375,425.0,2024-12-27,call,10.75,12.15,336.0,685,11.3,0.21015194152832029,0.08315952919819632,0.9930138781219214
427.989990234375,430.0,2024-12-27,call,7.4,9.7,685.0,875,8.43,0.2106402178955078,0.08315952919819632,1.0046963943351206
427.989990234375,435.0,2024-12-27,call,4.75,7.5,316.0,644,6.0,0.2087481469726562,0.08315952919819632,1.0163789105483196
427.989990234375,440.0,2024-12-27,call,3.0,4.25,908.0,6812,4.14,0.17575897491455078,0.08315952919819632,1.0280614267615187
427.989990234375,445.0,2024-12-27,call,2.11,2.9,254.0,1299,2.82,0.17359224853515626,0.08315952919819632,1.0397439429747177
427.989990234375,450.0,2024-12-27,call,1.75,2.14,1302.0,1663,1.86,0.17884121948242188,0.08315952919819632,1.0514264591879168
427.989990234375,455.0,2024-12-27,call,0.77,1.5,418.0,440,1.23,0.18128260131835935,0.08315952919819632,1.0631089754011158
427.989990234375,460.0,2024-12-27,call,0.75,0.89,182.0,565,0.86,0.1765829412841797,0.08315952919819632,1.0747914916143149
427.989990234375,465.0,2024-12-27,call,0.52,0.62,319.0,296,0.64,0.18042811767578126,0.08315952919819632,1.0864740078275141
427.989990234375,470.0,2024-12-27,call,0.35,0.44,108.0,390,0.41,0.18506674316406246,0.08315952919819632,1.0981565240407132
427.989990234375,475.0,2024-12-27,call,0.25,0.34,35.0,35,0.3,0.192390888671875,0.08315952919819632,1.1098390402539122
427.989990234375,480.0,2024-12-27,call,0.18,0.24,38.0,25,0.24,0.196297099609375,0.08315952919819632,1.1215215564671113
427.989990234375,485.0,2024-12-27,call,0.14,0.2,35.0,69,0.17,0.20508607421874997,0.08315952919819632,1.1332040726803103
427.989990234375,490.0,2024-12-27,call,0.11,0.17,1.0,29,0.14,0.213875048828125,0.08315952919819632,1.1448865888935094
427.989990234375,495.0,2024-12-27,call,0.0,0.14,,1,0.26,0.22144333251953124,0.08315952919819632,1.1565691051067084
427.989990234375,500.0,2024-12-27,call,0.06,0.12,20.0,180,0.08,0.229499892578125,0.08315952919819632,1.1682516213199077
427.989990234375,505.0,2024-12-27,call,0.04,0.1,1.0,3,0.06,0.2368240380859375,0.08315952919819632,1.1799341375331067
427.989990234375,510.0,2024-12-27,call,0.03,0.09,6.0,3,0.05,0.2461012890625,0.08315952919819632,1.1916166537463058
427.989990234375,355.0,2025-01-03,call,73.55,76.3,12.0,10,63.8,0.47284462707519537,0.10232448470812103,0.8294586511371344
427.989990234375,360.0,2025-01-03,call,69.85,71.25,1.0,8,64.95,0.4445245977783203,0.10232448470812103,0.8411411673503334
427.989990234375,380.0,2025-01-03,call,49.5,52.1,2.0,13,48.95,0.36743796630859377,0.10232448470812103,0.8878712322031298
427.989990234375,390.0,2025-01-03,call,40.7,43.0,11.0,5,30.5,0.3371648315429688,0.10232448470812103,0.9112362646295279
427.989990234375,395.0,2025-01-03,call,36.05,37.5,32.0,14,27.85,0.29514254669189455,0.10232448470812103,0.9229187808427269
427.989990234375,400.0,2025-01-03,call,31.1,33.45,65.0,9,30.0,0.2896189202880859,0.10232448470812103,0.9346012970559261
427.989990234375,405.0,2025-01-03,call,26.0,28.85,1.0,3,26.67,0.2681347601318359,0.10232448470812103,0.9462838132691251
427.989990234375,410.0,2025-01-03,call,22.45,25.1,1.0,26,19.0,0.2626416510009766,0.10232448470812103,0.9579663294823242
427.989990234375,415.0,2025-01-03,call,18.3,20.45,35.0,100,18.6,0.23526765716552733,0.10232448470812103,0.9696488456955232
427.989990234375,420.0,2025-01-03,call,15.35,17.25,59.0,40,15.8,0.23264317169189452,0.10232448470812103,0.9813313619087224
427.989990234375,425.0,2025-01-03,call,12.05,13.75,75.0,49,12.51,0.21930712341308595,0.10232448470812103,0.9930138781219214
427.989990234375,430.0,2025-01-03,call,8.2,9.9,73.0,86,9.53,0.19440502868652343,0.10232448470812103,1.0046963943351206
427.989990234375,435.0,2025-01-03,call,6.85,7.5,110.0,131,7.21,0.18909502319335939,0.10232448470812103,1.0163789105483196
427.989990234375,440.0,2025-01-03,call,5.0,6.5,236.0,141,5.55,0.2036212451171875,0.10232448470812103,1.0280614267615187
427.989990234375,445.0,2025-01-03,call,3.5,5.9,47.0,85,3.79,0.22180953979492185,0.10232448470812103,1.0397439429747177
427.989990234375,450.0,2025-01-03,call,2.38,2.95,833.0,219,2.68,0.18305260314941402,0.10232448470812103,1.0514264591879168
427.989990234375,455.0,2025-01-03,call,1.59,1.95,172.0,70,1.83,0.17841397766113282,0.10232448470812103,1.0631089754011158
427.989990234375,460.0,2025-01-03,call,1.13,1.34,388.0,17,1.24,0.1782308740234375,0.10232448470812103,1.0747914916143149
427.989990234375,465.0,2025-01-03,call,0.72,1.0,21.0,25,0.86,0.18262536132812499,0.10232448470812103,1.0864740078275141
427.989990234375,470.0,2025-01-03,call,0.5,0.74,14.0,7,0.65,0.18665364135742188,0.10232448470812103,1.0981565240407132
427.989990234375,475.0,2025-01-03,call,0.38,0.55,3.0,2,0.43,0.19068192138671874,0.10232448470812103,1.1098390402539122
427.989990234375,485.0,2025-01-03,call,0.0,0.35,,2,2.3,0.20313296874999998,0.10232448470812103,1.1332040726803103
427.989990234375,345.0,2025-01-17,call,84.55,87.95,1.0,1459,82.62,0.5080615600585938,0.14065439572797045,0.8060936187107363
427.989990234375,350.0,2025-01-17,call,79.85,83.05,156.0,7036,81.2,0.4865163653564454,0.14065439572797045,0.8177761349239353
427.989990234375,355.0,2025-01-17,call,74.8,78.1,2.0,643,74.6,0.4633842724609375,0.14065439572797045,0.8294586511371344
427.989990234375,360.0,2025-01-17,call,70.15,73.9,132.0,2440,71.81,0.4611870288085938,0.14065439572797045,0.8411411673503334
427.989990234375,365.0,2025-01-17,call,65.05,68.4,2.0,948,63.46,0.4225521612548828,0.14065439572797045,0.8528236835635326
427.989990234375,370.0,2025-01-17,call,60.9,63.7,10.0,1442,61.4,0.4056455920410156,0.14065439572797045,0.8645061997767316
427.989990234375,375.0,2025-01-17,call,56.1,58.75,2.0,2117,56.0,0.38184211914062494,0.14065439572797045,0.8761887159899306
427.989990234375,380.0,2025-01-17,call,51.95,53.0,33.0,4878,52.55,0.33838552246093745,0.14065439572797045,0.8878712322031298
427.989990234375,385.0,2025-01-17,call,46.15,49.25,12.0,6473,47.5,0.34290207885742185,0.14065439572797045,0.8995537484163288
427.989990234375,390.0,2025-01-17,call,41.45,44.4,222.0,2842,43.35,0.32031929687499994,0.14065439572797045,0.9112362646295279
427.989990234375,395.0,2025-01-17,call,37.55,40.9,56.0,2064,38.6,0.3244696459960937,0.14065439572797045,0.9229187808427269
427.989990234375,400.0,2025-01-17,call,32.65,35.0,372.0,10408,34.33,0.27936511657714835,0.14065439572797045,0.9346012970559261
427.989990234375,405.0,2025-01-17,call,28.8,31.95,53.0,2147,29.98,0.28745219390869137,0.14065439572797045,0.9462838132691251
427.989990234375,410.0,2025-01-17,call,24.25,26.45,311.0,9649,26.8,0.249030947265625,0.14065439572797045,0.9579663294823242
427.989990234375,415.0,2025-01-17,call,21.8,22.55,561.0,6038,22.19,0.23691558990478517,0.14065439572797045,0.9696488456955232
427.989990234375,420.0,2025-01-17,call,17.4,19.0,1092.0,12543,18.71,0.2274552352905273,0.14065439572797045,0.9813313619087224
427.989990234375,425.0,2025-01-17,call,15.2,15.6,1417.0,7033,15.3,0.21677418975830076,0.14065439572797045,0.9930138781219214
427.989990234375,430.0,2025-01-17,call,11.95,12.7,3027.0,9799,12.55,0.20978573425292968,0.14065439572797045,1.0046963943351206
427.989990234375,435.0,2025-01-17,call,8.9,10.25,1273.0,7030,10.0,0.2052996951293945,0.14065439572797045,1.0163789105483196
427.989990234375,440.0,2025-01-17,call,6.8,8.5,2194.0,7179,7.9,0.20728331787109372,0.14065439572797045,1.0280614267615187
427.989990234375,445.0,2025-01-17,call,5.0,6.25,972.0,4207,6.25,0.19635813415527342,0.14065439572797045,1.0397439429747177
427.989990234375,450.0,2025-01-17,call,4.6,4.8,3905.0,22617,4.7,0.19385571777343752,0.14065439572797045,1.0514264591879168
427.989990234375,455.0,2025-01-17,call,2.89,3.65,1201.0,8169,3.8,0.19226881958007813,0.14065439572797045,1.0631089754011158
427.989990234375,460.0,2025-01-17,call,2.63,2.95,976.0,10200,2.75,0.1961139959716797,0.14065439572797045,1.0747914916143149
427.989990234375,465.0,2025-01-17,call,1.7,2.2,364.0,3710,2.07,0.19492382232666017,0.14065439572797045,1.0864740078275141
427.989990234375,470.0,2025-01-17,call,1.48,1.71,422.0,9679,1.56,0.19690744506835936,0.14065439572797045,1.0981565240407132
427.989990234375,475.0,2025-01-17,call,1.12,1.36,126.0,4057,1.17,0.2002643450927734,0.14065439572797045,1.1098390402539122
427.989990234375,480.0,2025-01-17,call,0.86,0.93,118.0,11321,0.89,0.19672434143066403,0.14065439572797045,1.1215215564671113
427.989990234375,485.0,2025-01-17,call,0.66,0.72,27.0,1876,0.69,0.19934882690429687,0.14065439572797045,1.1332040726803103
427.989990234375,490.0,2025-01-17,call,0.51,0.57,48.0,3384,0.54,0.20276676147460934,0.14065439572797045,1.1448865888935094
427.989990234375,495.0,2025-01-17,call,0.4,0.45,36.0,2738,0.44,0.2059405578613281,0.14065439572797045,1.1565691051067084
427.989990234375,500.0,2025-01-17,call,0.33,0.37,376.0,14460,0.37,0.2104571142578125,0.14065439572797045,1.1682516213199077
427.989990234375,505.0,2025-01-17,call,0.26,0.29,10.0,3905,0.27,0.21314263427734376,0.14065439572797045,1.1799341375331067
427.989990234375,510.0,2025-01-17,call,0.21,0.25,7.0,1363,0.23,0.21875781249999998,0.14065439572797045,1.1916166537463058
427.989990234375,345.0,2025-02-21,call,86.95,90.95,4.0,31,76.69,0.4621635815429688,0.236479173277594,0.8060936187107363
427.989990234375,350.0,2025-02-21,call,82.4,86.2,3.0,203,81.33,0.4461725305175781,0.236479173277594,0.8177761349239353
427.989990234375,355.0,2025-02-21,call,78.7,80.35,5.0,108,65.95,0.4080259393310547,0.236479173277594,0.8294586511371344
427.989990234375,360.0,2025-02-21,call,73.25,76.05,2.0,168,61.4,0.40112903564453123,0.236479173277594,0.8411411673503334
427.989990234375,365.0,2025-02-21,call,68.6,71.15,2.0,285,56.01,0.3820862573242187,0.236479173277594,0.8528236835635326
427.989990234375,370.0,2025-02-21,call,64.25,66.75,18.0,102,65.2,0.37186297088623044,0.236479173277594,0.8645061997767316
