underlying_price,strike,expiration_date,option_type,bid,ask,volume,open_interest,last_price,implied_volatility,T,moneyness
392.5299987792969,320.0,2025-04-04,call,73.15,76.1,3000.0,3001,80.98,0.5433395275878907,0.09695799066259791,0.8152243166003793
392.5299987792969,330.0,2025-04-04,call,64.15,66.0,,1,89.8,0.4781546325683594,0.09695799066259791,0.8407000764941411
392.5299987792969,350.0,2025-04-04,call,45.05,47.2,1.0,5,52.32,0.3979552392578125,0.09695799066259791,0.8916515962816648
392.5299987792969,355.0,2025-04-04,call,40.45,42.6,1.0,1,50.98,0.37793590820312495,0.09695799066259791,0.9043894762285457
392.5299987792969,370.0,2025-04-04,call,28.15,30.15,1.0,20,32.05,0.340826904296875,0.09695799066259791,0.9426031160691886
392.5299987792969,375.0,2025-04-04,call,23.95,26.35,5.0,31,28.8,0.33020689331054687,0.09695799066259791,0.9553409960160695
392.5299987792969,380.0,2025-04-04,call,20.25,22.85,2.0,198,23.9,0.3221808505249023,0.09695799066259791,0.9680788759629504
392.5299987792969,385.0,2025-04-04,call,16.9,19.35,1.0,5,22.13,0.30976032043457036,0.09695799066259791,0.9808167559098313
392.5299987792969,390.0,2025-04-04,call,13.8,16.2,96.0,94,15.6,0.29990324127197265,0.09695799066259791,0.9935546358567122
392.5299987792969,395.0,2025-04-04,call,11.0,13.35,33.0,30,12.3,0.2910227148437499,0.09695799066259791,1.0062925158035931
392.5299987792969,400.0,2025-04-04,call,9.75,11.95,139.0,297,9.82,0.3060066958618164,0.09695799066259791,1.019030395750474
392.5299987792969,405.0,2025-04-04,call,7.7,7.9,213.0,257,8.27,0.2608716491699219,0.09695799066259791,1.031768275697355
392.5299987792969,410.0,2025-04-04,call,5.9,6.1,98.0,355,5.9,0.2553785400390626,0.09695799066259791,1.0445061556442359
392.5299987792969,415.0,2025-04-04,call,4.35,4.65,82.0,246,4.65,0.251411294555664,0.09695799066259791,1.0572440355911168
392.5299987792969,420.0,2025-04-04,call,3.2,3.45,80.0,399,3.25,0.247077841796875,0.09695799066259791,1.0699819155379977
392.5299987792969,425.0,2025-04-04,call,2.36,2.55,93.0,277,2.37,0.24469749450683598,0.09695799066259791,1.0827197954848786
392.5299987792969,430.0,2025-04-04,call,1.7,1.86,131.0,459,1.83,0.24286645812988278,0.09695799066259791,1.0954576754317595
392.5299987792969,435.0,2025-04-04,call,1.26,1.41,218.0,424,1.35,0.2447585290527344,0.09695799066259791,1.1081955553786405
392.5299987792969,440.0,2025-04-04,call,0.89,1.01,72.0,223,0.98,0.24378197631835938,0.09695799066259791,1.1209334353255216
392.5299987792969,445.0,2025-04-04,call,0.65,0.79,22.0,1322,0.71,0.24817646362304688,0.09695799066259791,1.1336713152724025
392.5299987792969,450.0,2025-04-04,call,0.5,0.6,44.0,189,0.5,0.25098405273437496,0.09695799066259791,1.1464091952192834
392.5299987792969,455.0,2025-04-04,call,0.36,0.48,1.0,61,0.45,0.2563550927734375,0.09695799066259791,1.1591470751661643
392.5299987792969,460.0,2025-04-04,call,0.29,0.38,5.0,47,0.36,0.260749580078125,0.09695799066259791,1.1718849551130452
392.5299987792969,465.0,2025-04-04,call,0.25,0.33,74.0,417,0.29,0.2690502783203125,0.09695799066259791,1.1846228350599262
392.5299987792969,470.0,2025-04-04,call,0.18,0.28,1.0,84,0.24,0.2758861474609374,0.09695799066259791,1.197360715006807
392.5299987792969,315.0,2025-04-17,call,96.75,98.95,2.0,3,116.74,0.9616703051757811,0.13255005089531524,0.8024864366534983
392.5299987792969,320.0,2025-04-17,call,74.1,76.7,1.0,106,86.75,0.4897511962890626,0.13255005089531524,0.8152243166003793
392.5299987792969,325.0,2025-04-17,call,69.45,71.9,2.0,42,73.25,0.46960979614257814,0.13255005089531524,0.8279621965472602
